P_NAME,P_RADIUS,P_PERIOD,S_NAME,S_METALLICITY,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_LUMINOSITY,P_HABITABLE
GJ 3293 b,4.191425871296591,30.5987,GJ 3293,0.02,0.42,0.4,3466.0,0.1436481,255.10464,247.83535,263.17963,0.020688207,0.0
GJ 3293 c,4.191425871296591,122.6196,GJ 3293,0.02,0.42,0.4,3466.0,0.36393859,160.5247,152.47894,170.28498,0.020688207,0.0
GJ 3293 d,4.191425871296591,48.1345,GJ 3293,0.02,0.42,0.4,3466.0,0.19533637,219.20455,207.31605,233.88404,0.020688207,2.0
GJ 3293 e,4.191425871296591,13.2543,GJ 3293,0.02,0.42,0.4,3466.0,0.083889864,336.3145,306.59443,379.44026,0.020688207,0.0
GJ 3323 b,4.191425871296591,5.3636,GJ 3323,-0.27,0.16,0.12,3159.0,0.033688089,265.35756,240.06866,303.41893,0.0012848418,1.0
GJ 3323 c,4.191425871296591,40.54,GJ 3323,-0.27,0.16,0.12,3159.0,0.12822648,135.42324,125.42695,148.91716,0.0012848418,0.0
GJ 3341 b,4.191425871296591,14.207,GJ 3341,-0.09,0.47,0.44,3526.0,0.09327645,343.44139,301.92221,416.0123,0.026811631,0.0
GJ 3470 b,4.57368,3.3366496,GJ 3470,0.2,0.54,0.55,3600.0,0.0355,624.57808,624.57808,624.57808,0.045522282,0.0
GJ 357 b,1.22189,3.93072,GJ 357,-0.12,0.34,0.34,3505.0,0.035,481.51579,481.51579,481.51579,0.015631425,0.0
GJ 357 c,4.191425871296591,9.1247,GJ 357,-0.12,0.34,0.34,3505.0,0.061,364.73684,364.73684,364.73684,0.015631425,0.0
GJ 357 d,4.191425871296591,55.661,GJ 357,-0.12,0.34,0.34,3505.0,0.204,199.4479,199.4479,199.4479,0.015631425,2.0
GJ 3634 b,4.191425871296591,2.64561,GJ 3634,0.014020760003518647,0.45,0.43,5490.154056235356,0.02879184,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 3779 b,4.191425871296591,3.0232,GJ 3779,0.0,0.27,0.28,3324.0,0.0260637,480.6592,464.81329,498.57323,0.0085752891,0.0
GJ 3942 b,4.191425871296591,6.905,GJ 3942,-0.04,0.63,0.61,3867.0,0.061245086,539.3931,509.91943,575.85075,0.074549546,0.0
GJ 3998 b,4.191425871296591,2.64977,GJ 3998,-0.16,0.5,0.49,3722.0,0.029,674.36105,674.36105,674.36105,0.041284429,0.0
GJ 3998 c,4.191425871296591,13.74,GJ 3998,-0.16,0.5,0.49,3722.0,0.089106844,384.88524,375.84496,394.73553,0.041284429,0.0
GJ 411 b,4.191425871296591,12.9532,GJ 411,-0.38,0.39,0.39,3563.0,0.0803997,348.97906,316.92059,396.35384,0.021962468,0.0
GJ 4276 b,4.191425871296591,13.352,GJ 4276,0.12,0.41,0.41,3387.0,0.0876129,330.86988,285.2049,420.57843,0.019820616,0.0
GJ 433 b,4.191425871296591,7.3709,GJ 433,-0.17,0.59,0.5,3461.0,0.060192,440.20403,423.7563,459.12838,0.032139199,0.0
GJ 436 b,4.17012,2.6438831,GJ 436,0.014020760003518647,0.47,0.46,5490.154056235356,0.029378176,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 504 b,4.191425871296591,2309.3421610400937,GJ 504,0.28,1.22,1.5371422191458501,6234.0,43.5,39.863842,39.863842,39.863842,1.1342674,0.0
GJ 536 b,4.191425871296591,8.7076,GJ 536,-0.08,0.52,0.5,3685.0,0.066823152,444.83179,428.21115,463.95508,0.041302717,0.0
GJ 581 b,4.191425871296591,5.368,GJ 581,-0.13500001,0.32300001,0.29899999,3498.0,0.041009923,416.35844,411.86519,421.02812,0.011992514,0.0
GJ 581 c,4.191425871296591,12.919,GJ 581,-0.13500001,0.32300001,0.29899999,3498.0,0.074280054,309.77811,297.26367,324.35546,0.011992514,0.0
GJ 581 e,4.191425871296591,3.1530001,GJ 581,-0.13500001,0.32300001,0.29899999,3498.0,0.029226562,494.59254,466.76385,529.26046,0.011992514,0.0
GJ 625 b,4.191425871296591,14.628,GJ 625,-0.38,0.3,0.31,3499.0,0.07902315,306.42984,288.57098,328.87605,0.012905885,0.0
GJ 649 b,4.191425871296591,598.3,GJ 649,0.08,0.54,1.5371422191458501,3700.0,1.186075,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 667 C b,4.191425871296591,7.2004,GJ 667 C,-0.55,0.33,1.5371422191458501,3350.0,0.050926725,430.0647,405.00035,461.56726,0.020796086,0.0
GJ 667 C c,4.191425871296591,28.14,GJ 667 C,-0.55,0.33,1.5371422191458501,3350.0,0.125025,273.63677,270.94755,276.42179,0.020796086,1.0
GJ 667 C e,4.191425871296591,62.24,GJ 667 C,-0.55,0.33,1.5371422191458501,3350.0,0.2130426,209.62335,207.56323,211.75685,0.020796086,1.0
GJ 667 C f,4.191425871296591,39.026,GJ 667 C,-0.55,0.33,1.5371422191458501,3350.0,0.1560702,244.93653,241.35672,248.70937,0.020796086,1.0
GJ 667 C g,4.191425871296591,256.2,GJ 667 C,-0.55,0.33,1.5371422191458501,3350.0,0.5507568,130.52091,125.64415,136.132,0.020796086,0.0
GJ 674 b,4.191425871296591,4.6938,GJ 674,-0.28,0.35,1.5371422191458501,3600.0,0.03978,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 676 A b,4.191425871296591,1056.8001,GJ 676 A,0.08,0.73,0.69,3734.0,1.919099,100.6316,87.87279,123.80633,0.082924733,0.0
GJ 676 A c,4.191425871296591,7337.0,GJ 676 A,0.08,0.73,0.69,3734.0,6.6,53.216213,53.216213,53.216213,0.082924733,0.0
GJ 676 A d,4.191425871296591,3.6005,GJ 676 A,0.08,0.73,0.69,3734.0,0.042807002,669.09551,598.21422,782.27279,0.082924733,0.0
GJ 676 A e,4.191425871296591,35.39,GJ 676 A,0.08,0.73,0.69,3734.0,0.19138915,313.41605,295.78142,335.3846,0.082924733,0.0
GJ 685 b,4.191425871296591,24.16,GJ 685,-0.15,0.55,0.54,3816.0,0.1344,337.14963,337.14963,337.14963,0.055399983,0.0
GJ 687 b,4.191425871296591,38.14,GJ 687,0.15,0.45,0.43,3340.0,0.170136,234.11533,229.59194,238.96687,0.020616333,0.0
GJ 832 b,4.191425871296591,3657.0,GJ 832,-0.3,0.45,1.5371422191458501,3472.0,3.571392,57.075646,54.943078,59.529324,0.031975683,0.0
GJ 832 c,4.191425871296591,35.68,GJ 832,-0.3,0.45,1.5371422191458501,3472.0,0.1656406,266.29863,245.64903,294.67897,0.031975683,2.0
GJ 849 b,4.191425871296591,1882.0,GJ 849,0.24,0.65,0.53,3241.0,2.35188,67.835442,66.524778,69.241185,0.027768761,0.0
GJ 86 b,4.191425871296591,15.76491,GJ 86,-0.22,0.93,0.77,5182.0,0.110088,604.25472,592.57978,616.77659,0.38305376,0.0
